,address,city,cuisines,latitude,longitude,menupageurl,name,postalcode,websites
386,296 E 17th St,Costa Mesa,Mexican Restaurants,33.63319,-117.915362,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEzrQAzDaQOjc1f4TgBN-jqQQ_y0-L7En1AsjDSyt6a1dg1xAMzvSEI3oMbkHGGg_3qeq0Kixs4OiG8_rNc83y4wlO_g7wgwb2-yFOK8hm08FdUfUECUV8GVF8-fnJsqb351qFs7xtEMjQ-TsJPqcR3IV_ihs2cAOIYVCigUwSUNauDXp5YQSEByALHOgU9Y0yp3C2rWE00I-xI4cx2F8gdkKQT3Q7rf_af9DLObLOqB1hQ9-uRkWtSbsA8hHQZz03CKlFr692ndtwpuxf04-2URyr_bT7vlUufeeLDAVn7xlXNO9bnwWzCAjJrQdxsnkHXYwfEz7QumZ5Nte_FLkAvyh2XnRR7XfVRxn58d0Vl3PwmMJDMMNfpnDIPcfFTS0KM5B4VgHTidvCQWR3k4ZXC52KYJdnWTA418VfpNPBQj1aMQTDHjkbRhDxPFKagCMbvADlgP60VHg&placement=listing_profile&cs_user=unknown&cs_session=b1f9f3ec2e4de1f853353363ee714688d7685f18,Mi Casa Mexican Restaurant & Bar,92627,http://micasa1.com
387,296 E 17th St,Costa Mesa,Mexican Restaurants,33.63319,-117.915362,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEzrQAzDaQOjc1f4TgBN-jqQQ_y0-L7En1AsjDSyt6a1dg1xAMzvSEI3oMbkHGGg_3qeq0Kixs4OiG8_rNc83y4wlO_g7wgwb2-yFOK8hm08FdUfUECUV8GVF8-fnJsqb351qFs7xtEMjQ-TsJPqcR3IV_ihs2cAOIYVCigUwSUNauDXp5YQSEByALHOgU9Y0yp3C2rWE00I-xI4cx2F8gdkKQT3Q7rf_af9DLObLOqB1hQ9-uRkWtSbsA8hHQZz03CKlFr692ndtwpuxf04-2URyr_bT7vlUufeeLDAVn7xlXNO9bnwWzCAjJrQdxsnkHXYwfEz7QumZ5Nte_FLkAvyh2XnRR7XfVRxn58d0Vl3PwmMJDMMNfpnDIPcfFTS0KM5B4VgHTidvCQWR3k4ZXC52KYJdnWTA418VfpNPBQj1aMQTDHjkbRhDxPFKagCMbvADlgP60VHg&placement=listing_profile&cs_user=unknown&cs_session=b1f9f3ec2e4de1f853353363ee714688d7685f18,Mi Casa Mexican Restaurant & Bar,92627,http://micasa1.com
388,296 E 17th St,Costa Mesa,Mexican Restaurants,33.63319,-117.915362,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEzrQAzDaQOjc1f4TgBN-jqQQ_y0-L7En1AsjDSyt6a1dg1xAMzvSEI3oMbkHGGg_3qeq0Kixs4OiG8_rNc83y4wlO_g7wgwb2-yFOK8hm08FdUfUECUV8GVF8-fnJsqb351qFs7xtEMjQ-TsJPqcR3IV_ihs2cAOIYVCigUwSUNauDXp5YQSEByALHOgU9Y0yp3C2rWE00I-xI4cx2F8gdkKQT3Q7rf_af9DLObLOqB1hQ9-uRkWtSbsA8hHQZz03CKlFr692ndtwpuxf04-2URyr_bT7vlUufeeLDAVn7xlXNO9bnwWzCAjJrQdxsnkHXYwfEz7QumZ5Nte_FLkAvyh2XnRR7XfVRxn58d0Vl3PwmMJDMMNfpnDIPcfFTS0KM5B4VgHTidvCQWR3k4ZXC52KYJdnWTA418VfpNPBQj1aMQTDHjkbRhDxPFKagCMbvADlgP60VHg&placement=listing_profile&cs_user=unknown&cs_session=b1f9f3ec2e4de1f853353363ee714688d7685f18,Mi Casa Mexican Restaurant & Bar,92627,http://micasa1.com
389,296 E 17th St,Costa Mesa,Mexican Restaurants,33.63319,-117.915362,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEzrQAzDaQOjc1f4TgBN-jqQQ_y0-L7En1AsjDSyt6a1dg1xAMzvSEI3oMbkHGGg_3qeq0Kixs4OiG8_rNc83y4wlO_g7wgwb2-yFOK8hm08FdUfUECUV8GVF8-fnJsqb351qFs7xtEMjQ-TsJPqcR3IV_ihs2cAOIYVCigUwSUNauDXp5YQSEByALHOgU9Y0yp3C2rWE00I-xI4cx2F8gdkKQT3Q7rf_af9DLObLOqB1hQ9-uRkWtSbsA8hHQZz03CKlFr692ndtwpuxf04-2URyr_bT7vlUufeeLDAVn7xlXNO9bnwWzCAjJrQdxsnkHXYwfEz7QumZ5Nte_FLkAvyh2XnRR7XfVRxn58d0Vl3PwmMJDMMNfpnDIPcfFTS0KM5B4VgHTidvCQWR3k4ZXC52KYJdnWTA418VfpNPBQj1aMQTDHjkbRhDxPFKagCMbvADlgP60VHg&placement=listing_profile&cs_user=unknown&cs_session=b1f9f3ec2e4de1f853353363ee714688d7685f18,Mi Casa Mexican Restaurant & Bar,92627,http://micasa1.com
390,296 E 17th St,Costa Mesa,Mexican Restaurants,33.63319,-117.915362,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEzrQAzDaQOjc1f4TgBN-jqQQ_y0-L7En1AsjDSyt6a1dg1xAMzvSEI3oMbkHGGg_3qeq0Kixs4OiG8_rNc83y4wlO_g7wgwb2-yFOK8hm08FdUfUECUV8GVF8-fnJsqb351qFs7xtEMjQ-TsJPqcR3IV_ihs2cAOIYVCigUwSUNauDXp5YQSEByALHOgU9Y0yp3C2rWE00I-xI4cx2F8gdkKQT3Q7rf_af9DLObLOqB1hQ9-uRkWtSbsA8hHQZz03CKlFr692ndtwpuxf04-2URyr_bT7vlUufeeLDAVn7xlXNO9bnwWzCAjJrQdxsnkHXYwfEz7QumZ5Nte_FLkAvyh2XnRR7XfVRxn58d0Vl3PwmMJDMMNfpnDIPcfFTS0KM5B4VgHTidvCQWR3k4ZXC52KYJdnWTA418VfpNPBQj1aMQTDHjkbRhDxPFKagCMbvADlgP60VHg&placement=listing_profile&cs_user=unknown&cs_session=b1f9f3ec2e4de1f853353363ee714688d7685f18,Mi Casa Mexican Restaurant & Bar,92627,http://micasa1.com
391,296 E 17th St,Costa Mesa,Mexican Restaurants,33.63319,-117.915362,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEzrQAzDaQOjc1f4TgBN-jqQQ_y0-L7En1AsjDSyt6a1dg1xAMzvSEI3oMbkHGGg_3qeq0Kixs4OiG8_rNc83y4wlO_g7wgwb2-yFOK8hm08FdUfUECUV8GVF8-fnJsqb351qFs7xtEMjQ-TsJPqcR3IV_ihs2cAOIYVCigUwSUNauDXp5YQSEByALHOgU9Y0yp3C2rWE00I-xI4cx2F8gdkKQT3Q7rf_af9DLObLOqB1hQ9-uRkWtSbsA8hHQZz03CKlFr692ndtwpuxf04-2URyr_bT7vlUufeeLDAVn7xlXNO9bnwWzCAjJrQdxsnkHXYwfEz7QumZ5Nte_FLkAvyh2XnRR7XfVRxn58d0Vl3PwmMJDMMNfpnDIPcfFTS0KM5B4VgHTidvCQWR3k4ZXC52KYJdnWTA418VfpNPBQj1aMQTDHjkbRhDxPFKagCMbvADlgP60VHg&placement=listing_profile&cs_user=unknown&cs_session=b1f9f3ec2e4de1f853353363ee714688d7685f18,Mi Casa Mexican Restaurant & Bar,92627,http://micasa1.com
392,296 E 17th St,Costa Mesa,Mexican Restaurants,33.63319,-117.915362,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEzrQAzDaQOjc1f4TgBN-jqQQ_y0-L7En1AsjDSyt6a1dg1xAMzvSEI3oMbkHGGg_3qeq0Kixs4OiG8_rNc83y4wlO_g7wgwb2-yFOK8hm08FdUfUECUV8GVF8-fnJsqb351qFs7xtEMjQ-TsJPqcR3IV_ihs2cAOIYVCigUwSUNauDXp5YQSEByALHOgU9Y0yp3C2rWE00I-xI4cx2F8gdkKQT3Q7rf_af9DLObLOqB1hQ9-uRkWtSbsA8hHQZz03CKlFr692ndtwpuxf04-2URyr_bT7vlUufeeLDAVn7xlXNO9bnwWzCAjJrQdxsnkHXYwfEz7QumZ5Nte_FLkAvyh2XnRR7XfVRxn58d0Vl3PwmMJDMMNfpnDIPcfFTS0KM5B4VgHTidvCQWR3k4ZXC52KYJdnWTA418VfpNPBQj1aMQTDHjkbRhDxPFKagCMbvADlgP60VHg&placement=listing_profile&cs_user=unknown&cs_session=b1f9f3ec2e4de1f853353363ee714688d7685f18,Mi Casa Mexican Restaurant & Bar,92627,http://micasa1.com
393,296 E 17th St,Costa Mesa,Mexican Restaurants,33.63319,-117.915362,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEzrQAzDaQOjc1f4TgBN-jqQQ_y0-L7En1AsjDSyt6a1dg1xAMzvSEI3oMbkHGGg_3qeq0Kixs4OiG8_rNc83y4wlO_g7wgwb2-yFOK8hm08FdUfUECUV8GVF8-fnJsqb351qFs7xtEMjQ-TsJPqcR3IV_ihs2cAOIYVCigUwSUNauDXp5YQSEByALHOgU9Y0yp3C2rWE00I-xI4cx2F8gdkKQT3Q7rf_af9DLObLOqB1hQ9-uRkWtSbsA8hHQZz03CKlFr692ndtwpuxf04-2URyr_bT7vlUufeeLDAVn7xlXNO9bnwWzCAjJrQdxsnkHXYwfEz7QumZ5Nte_FLkAvyh2XnRR7XfVRxn58d0Vl3PwmMJDMMNfpnDIPcfFTS0KM5B4VgHTidvCQWR3k4ZXC52KYJdnWTA418VfpNPBQj1aMQTDHjkbRhDxPFKagCMbvADlgP60VHg&placement=listing_profile&cs_user=unknown&cs_session=b1f9f3ec2e4de1f853353363ee714688d7685f18,Mi Casa Mexican Restaurant & Bar,92627,http://micasa1.com
394,296 E 17th St,Costa Mesa,Mexican Restaurants,33.63319,-117.915362,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEzrQAzDaQOjc1f4TgBN-jqQQ_y0-L7En1AsjDSyt6a1dg1xAMzvSEI3oMbkHGGg_3qeq0Kixs4OiG8_rNc83y4wlO_g7wgwb2-yFOK8hm08FdUfUECUV8GVF8-fnJsqb351qFs7xtEMjQ-TsJPqcR3IV_ihs2cAOIYVCigUwSUNauDXp5YQSEByALHOgU9Y0yp3C2rWE00I-xI4cx2F8gdkKQT3Q7rf_af9DLObLOqB1hQ9-uRkWtSbsA8hHQZz03CKlFr692ndtwpuxf04-2URyr_bT7vlUufeeLDAVn7xlXNO9bnwWzCAjJrQdxsnkHXYwfEz7QumZ5Nte_FLkAvyh2XnRR7XfVRxn58d0Vl3PwmMJDMMNfpnDIPcfFTS0KM5B4VgHTidvCQWR3k4ZXC52KYJdnWTA418VfpNPBQj1aMQTDHjkbRhDxPFKagCMbvADlgP60VHg&placement=listing_profile&cs_user=unknown&cs_session=b1f9f3ec2e4de1f853353363ee714688d7685f18,Mi Casa Mexican Restaurant & Bar,92627,http://micasa1.com
395,296 E 17th St,Costa Mesa,Mexican Restaurants,33.63319,-117.915362,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEzrQAzDaQOjc1f4TgBN-jqQQ_y0-L7En1AsjDSyt6a1dg1xAMzvSEI3oMbkHGGg_3qeq0Kixs4OiG8_rNc83y4wlO_g7wgwb2-yFOK8hm08FdUfUECUV8GVF8-fnJsqb351qFs7xtEMjQ-TsJPqcR3IV_ihs2cAOIYVCigUwSUNauDXp5YQSEByALHOgU9Y0yp3C2rWE00I-xI4cx2F8gdkKQT3Q7rf_af9DLObLOqB1hQ9-uRkWtSbsA8hHQZz03CKlFr692ndtwpuxf04-2URyr_bT7vlUufeeLDAVn7xlXNO9bnwWzCAjJrQdxsnkHXYwfEz7QumZ5Nte_FLkAvyh2XnRR7XfVRxn58d0Vl3PwmMJDMMNfpnDIPcfFTS0KM5B4VgHTidvCQWR3k4ZXC52KYJdnWTA418VfpNPBQj1aMQTDHjkbRhDxPFKagCMbvADlgP60VHg&placement=listing_profile&cs_user=unknown&cs_session=b1f9f3ec2e4de1f853353363ee714688d7685f18,Mi Casa Mexican Restaurant & Bar,92627,http://micasa1.com
